"logNu[1]","logNu[2]","logNu[3]","tauCopy","x[1]","x[2]","x[3]"
-3.15239758089299,2.26998486915821,1.65181961472102,0.132100335424507,18,23,20
-3.147810381374,2.26386955836156,1.65040186709055,0.226881077636955,18,23,20
-3.18377160928682,2.26410986358124,1.65104625717477,0.0749117292273711,18,23,20
-3.17615566829193,2.26701657651972,1.65087530361408,0.278961833856342,18,23,20
-3.16412622095934,2.26491675542879,1.65145725546285,0.0802247045715001,18,23,20
-3.17600834918902,2.26455266128823,1.65145725546285,0.0373806998165703,18,23,20
-3.14814055301525,2.26392873023587,1.65222301426104,0.013960317381986,18,23,20
-3.16604282413874,2.26345541314803,1.65002235664437,0.329149414983841,18,23,20
-3.16604282413874,2.26322180547062,1.64963734471982,0.293648768539685,18,23,20
-3.17298266190594,2.25686536227022,1.64602388966159,0.122254632808055,18,23,20
-3.16676500099206,2.25832831214756,1.6439101924976,0.129097343905545,18,23,20
-3.18181646817575,2.26108129995878,1.64506654648061,0.0264101358593891,18,23,20
-3.19394930691724,2.2660122500221,1.64814947223831,0.212446674902712,18,23,20
-3.2420475417624,2.26378838559356,1.65106906700465,0.22178526665235,18,23,20
